MAKE,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,COEMISSIONS,FUEL_X,FUEL_Z,TRANSMISSION_A4,TRANSMISSION_A5,TRANSMISSION_M5,FUEL CONSUMPTION
3.75,4.23,3.2,6,281,0,1,0,0,1,13.9
3.75,4.34,3.3,6,350,1,0,1,0,0,16.8
3.25,3.02,1.8,4,209,1,0,0,0,1,10.0
3.75,3.42,3.8,6,262,1,0,1,0,0,13.5
4.75,4.0,5.9,8,444,1,0,1,0,0,22.3
3.5,3.02,2.4,5,278,0,1,1,0,0,13.9
3.25,3.02,3.0,6,278,1,0,1,0,0,14.0
3.0,2.99,2.2,4,242,1,0,0,0,1,11.8
3.0,4.0,2.5,4,248,1,0,0,0,1,12.5
3.0,3.08,1.8,4,235,1,0,1,0,0,11.7
4.5,4.34,4.3,6,345,1,0,1,0,0,16.8
3.25,3.61,3.8,6,290,0,1,1,0,0,15.1
3.5,3.97,3.8,6,304,1,0,1,0,0,15.2
4.75,4.34,4.7,8,363,1,0,0,0,1,18.3
4.0,4.0,5.4,8,426,1,0,1,0,0,21.1
4.5,4.5,4.3,6,336,1,0,1,0,0,16.2
2.75,3.42,2.2,4,239,1,0,1,0,0,11.9
4.75,3.97,3.3,6,288,1,0,1,0,0,14.5
2.75,3.42,2.3,4,246,1,0,1,0,0,12.2
3.5,3.42,2.5,6,269,1,0,1,0,0,13.6
3.5,3.08,1.6,4,221,1,0,1,0,0,10.6
3.25,3.97,3.0,6,288,1,0,1,0,0,14.3
4.75,4.5,3.9,6,377,1,0,0,0,0,17.6
4.0,3.42,4.0,8,331,0,1,0,1,0,16.6
4.0,3.02,3.8,6,267,1,0,0,0,1,13.6
4.0,4.0,4.6,8,391,1,0,1,0,0,19.3
3.0,3.08,2.5,4,253,1,0,0,0,1,12.5
3.75,3.02,1.3,4,191,1,0,0,0,0,9.1
3.75,4.0,4.8,8,391,1,0,1,0,0,18.7
2.75,3.02,1.9,4,202,1,0,0,0,1,10.3
4.5,4.34,5.3,8,343,1,0,1,0,0,16.7
3.0,4.0,2.0,4,288,1,0,0,0,1,12.8
3.75,3.42,4.0,8,285,0,1,0,1,0,14.3
4.0,4.5,4.6,8,359,1,0,1,0,0,17.8
3.0,3.02,1.8,4,223,0,1,0,0,1,10.6
